ApplyEyeMakeup,ApplyLipstick,Archery,BabyCrawling,BalanceBeam,BandMarching,BaseballPitch,Basketball,BasketballDunk,BenchPress,Biking,Billiards,BlowDryHair,BlowingCandles,BodyWeightSquats,Bowling,BoxingPunchingBag,BoxingSpeedBag,BreastStroke,BrushingTeeth,CleanAndJerk,CliffDiving,CricketBowling,CricketShot,CuttingInKitchen,Diving,Drumming,Fencing,FieldHockeyPenalty,FloorGymnastics,FrisbeeCatch,FrontCrawl,GolfSwing,Haircut,HammerThrow,Hammering,HandstandPushups,HandstandWalking,HeadMassage,HighJump,HorseRace,HorseRiding,HulaHoop,IceDancing,JavelinThrow,JugglingBalls,JumpRope,JumpingJack,Kayaking,Knitting,LongJump,Lunges,MilitaryParade,Mixing,MoppingFloor,Nunchucks,ParallelBars,PizzaTossing,PlayingCello,PlayingDaf,PlayingDhol,PlayingFlute,PlayingGuitar,PlayingPiano,PlayingSitar,PlayingTabla,PlayingViolin,PoleVault,PommelHorse,PullUps,Punch,PushUps,Rafting,RockClimbingIndoor,RopeClimbing,Rowing,SalsaSpin,ShavingBeard,Shotput,SkateBoarding,Skiing,Skijet,SkyDiving,SoccerJuggling,SoccerPenalty,StillRings,SumoWrestling,Surfing,Swing,TableTennisShot,TaiChi,TennisSwing,ThrowDiscus,TrampolineJumping,Typing,UnevenBars,VolleyballSpiking,WalkingWithDog,WallPushups,WritingOnBoard,YoYo
0,0,0,5,2,1,0,0,2,0,1,2,0,0,0,4,3,1,8,0,0,11,2,38,0,4,0,2,3,14,13,11,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,10,1,0,0,4,3,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,4,0,0
0,0,0,2,21,4,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,18,2,2,0,0,1,0,8,1,1,0,0,23,0,5,5,6,3,0,0,0,0,4,0,0,0,1,0,0,1,5,0,0,0,2,29,0,0,0,0,0,0,0,0,0,13,1,0,0,0,1,0,0,1,0,0,0,5,0,0,0,1,0,6,1,0,3,0,0,0,16,6,0,0,3,0,1,0,0
0,0,4,34,0,6,0,1,0,3,4,0,0,1,0,0,0,0,4,2,1,1,0,1,4,0,3,0,2,1,1,12,0,2,2,3,0,12,2,1,4,3,2,0,0,0,1,0,1,0,3,0,4,6,11,0,2,0,0,2,0,7,0,1,1,0,2,0,0,0,0,0,0,4,0,6,2,1,0,2,4,5,14,0,3,0,5,11,2,2,0,0,0,0,2,3,0,10,1,0,1
0,1,1,1,0,3,0,4,1,0,8,0,0,1,1,1,1,0,0,0,0,2,0,0,0,77,1,1,1,2,1,3,0,0,0,0,0,2,0,0,5,18,3,11,3,0,1,0,7,2,2,0,13,0,1,0,1,3,0,0,2,2,0,0,1,0,2,14,2,0,4,3,7,0,0,5,1,0,1,0,2,6,1,1,0,0,1,3,13,0,0,2,2,3,1,5,6,7,0,0,0
0,1,0,2,2,6,0,0,0,1,6,0,16,52,0,0,0,0,0,1,0,14,3,1,0,10,45,3,0,2,3,1,2,45,9,1,0,10,15,4,3,5,0,1,0,0,2,1,1,16,2,12,2,6,4,0,2,0,0,3,6,1,17,0,3,5,0,4,12,1,40,0,6,24,4,0,0,0,0,7,0,0,2,1,0,1,9,0,34,0,0,0,2,10,0,2,0,6,0,0,0
0,0,0,0,6,0,2,3,3,0,2,0,0,2,0,1,1,0,1,0,1,4,2,2,0,6,0,25,4,7,2,1,0,0,0,1,0,2,0,14,2,3,1,0,2,0,2,0,1,1,5,3,2,0,0,2,3,3,0,0,0,0,0,1,0,0,0,3,9,0,1,0,0,0,0,1,5,0,4,1,4,6,0,12,1,3,2,0,1,2,0,2,0,2,0,2,2,0,0,2,0
0,0,2,0,6,0,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,2,17,2,2,0,5,1,13,42,15,2,0,0,1,0,0,0,0,9,6,0,0,1,0,0,0,0,1,0,9,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,3,24,0,11,0,0,7,7,6,10,4,4,6,1,0,3,0,0,0,2,1,0,0,1,0,4,0,0,0
0,0,2,1,5,6,2,2,4,0,0,0,1,1,0,1,0,0,0,0,1,1,1,3,3,6,2,5,6,16,5,7,0,0,0,0,0,1,2,7,7,10,2,5,6,0,0,0,2,0,8,3,2,0,3,0,4,1,0,0,0,0,1,1,0,0,0,4,2,0,2,0,4,1,2,6,1,1,4,5,2,4,1,2,2,4,2,1,2,1,0,2,2,7,0,4,0,9,0,2,0
0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,3,0,0,4,0,0,3,0,0,1,0,0,0,1,4,15,7,1,0,0,0,1,0,0,5,2,1,0,0,2,0,0,0,0,0,4,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,1,13,0,0,1,3,3,0,9,2,0,1,4,19,0,0,0,0,2,0,0,1,1,0,0,0,1
0,0,0,4,2,2,0,2,1,0,1,0,0,0,0,5,0,0,13,0,0,10,1,0,0,9,0,2,0,7,10,27,0,1,1,0,0,3,3,2,20,2,1,1,3,0,0,0,10,4,3,1,8,0,2,0,2,1,0,0,0,2,0,2,1,0,0,12,1,0,2,0,7,0,2,12,0,0,0,0,11,14,4,1,0,1,3,9,1,0,0,0,1,0,0,2,2,4,0,0,1
0,0,0,0,3,5,1,2,2,0,3,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,0,3,1,0,39,0,3,0,0,4,0,0,0,3,0,2,3,0,0,1,12,0,2,9,2,0,6,0,2,0,0,0,0,0,0,0,1,0,0,7,0,0,6,0,3,0,1,2,4,0,1,0,1,0,0,2,0,0,2,0,2,0,7,5,4,2,0,4,4,14,0,0,0
